name,brand,category,subcategory,sku,hasVariants,optionType,variantName,variantSku,packSize,unit,estimatedCost,markupPct,price,stock,lowStockThreshold,imageUrl,imageSearchQuery,imageStatus,priceStatus,supplier,barcode,country,lastPriceCheck,notes,referenceRetailPrice,priceSourceUrl,productSourceUrl,imageSourcePageUrl,sourceRecency,priceConfidence,imageConfidence,enrichmentStatus,dataQuality
Minimie Instant Noodles Chicken 70 g x40,Minimie,grains,Instant Noodles,BSV-MINIMIE-INSTANT-NOODLES-CHICKEN-70-G-X40-0001,false,,,,70 g x40,item,,16,10600,0,5,,Minimie Instant Noodles Chicken 70 g x40 Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,10600,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/minimie-instant-noodles-chicken-70-g-x40,https://www.supermart.ng/products/minimie-instant-noodles-chicken-70-g-x40,verified-current,95,0,pending-image,verified-reference
Minimie Instant Noodles Party Jollof 70 g x40,Minimie,grains,Instant Noodles,BSV-MINIMIE-INSTANT-NOODLES-PARTY-JOLLOF-70--0002,false,,,,70 g x40,item,,16,10800,0,5,,Minimie Instant Noodles Party Jollof 70 g x40 Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,10800,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/minimie-instant-noodles-party-jollof-70-g-x40,https://www.supermart.ng/products/minimie-instant-noodles-party-jollof-70-g-x40,verified-current,95,0,pending-image,verified-reference
Indomie Instant Noodles Chicken 180 g (Hungry Man) x24,Indomie,grains,Instant Noodles,BSV-INDOMIE-INSTANT-NOODLES-CHICKEN-180-G-HU-0003,false,,,,180 g,item,,16,17450,0,5,,Indomie Instant Noodles Chicken 180 g (Hungry Man) x24 Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,17450,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/indomie-instant-noodles-chicken-180-g-hungry-man-x24,https://www.supermart.ng/products/indomie-instant-noodles-chicken-180-g-hungry-man-x24,verified-current,95,0,pending-image,verified-reference
Indomie Instant Noodles Chicken Belle Full 305 g x16,Indomie,grains,Instant Noodles,BSV-INDOMIE-INSTANT-NOODLES-CHICKEN-BELLE-FU-0004,false,,,,305 g x16,item,,16,17280,0,5,,Indomie Instant Noodles Chicken Belle Full 305 g x16 Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,17280,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/indomie-instant-noodles-chicken-belle-full-305-g-x16,https://www.supermart.ng/products/indomie-instant-noodles-chicken-belle-full-305-g-x16,verified-current,95,0,pending-image,verified-reference
Golden Penny Instant Noodles Goat Meat Pepper Soup 70 g,Golden Penny,grains,Instant Noodles,BSV-GOLDEN-PENNY-INSTANT-NOODLES-GOAT-MEAT-P-0005,false,,,,70 g,item,,16,250,0,5,,Golden Penny Instant Noodles Goat Meat Pepper Soup 70 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,250,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/golden-penny-instant-noodles-goat-meat-pepper-soup-70-g,https://www.supermart.ng/products/golden-penny-instant-noodles-goat-meat-pepper-soup-70-g,verified-current,95,0,pending-image,verified-reference
Indomie Instant Noodles Oriental Fried 100 g,Indomie,grains,Instant Noodles,BSV-INDOMIE-INSTANT-NOODLES-ORIENTAL-FRIED-1-0006,false,,,,100 g,item,,16,405,0,5,,Indomie Instant Noodles Oriental Fried 100 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,405,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/indomie-instant-noodles-oriental-fried-100-g,https://www.supermart.ng/products/indomie-instant-noodles-oriental-fried-100-g,verified-current,95,0,pending-image,verified-reference
Honeywell Instant Noodles Chicken 70 g,Honeywell,grains,Instant Noodles,BSV-HONEYWELL-INSTANT-NOODLES-CHICKEN-70-G-0007,false,,,,70 g,item,,16,240,0,5,,Honeywell Instant Noodles Chicken 70 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,240,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/honeywell-instant-noodles-chicken-70-g,https://www.supermart.ng/products/honeywell-instant-noodles-chicken-70-g,verified-current,95,0,pending-image,verified-reference
Sedaap Supreme Tasty Chicken Instant Noodles 100 g,Sedaap,grains,Instant Noodles,BSV-SEDAAP-SUPREME-TASTY-CHICKEN-INSTANT-NOO-0008,false,,,,100 g,item,,16,360,0,5,,Sedaap Supreme Tasty Chicken Instant Noodles 100 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,360,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/sedaap-supreme-tasty-chicken-instant-noodles-100-g,https://www.supermart.ng/products/sedaap-supreme-tasty-chicken-instant-noodles-100-g,verified-current,95,0,pending-image,verified-reference
Indomie Instant Noodles Onion Chicken Hungry Man Size 200 g,Indomie,grains,Instant Noodles,BSV-INDOMIE-INSTANT-NOODLES-ONION-CHICKEN-HU-0009,false,,,,200 g,item,,16,960,0,5,,Indomie Instant Noodles Onion Chicken Hungry Man Size 200 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,960,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/indomie-instant-noodles-onion-chicken-hungry-man-size-200-g,https://www.supermart.ng/products/indomie-instant-noodles-onion-chicken-hungry-man-size-200-g,verified-current,95,0,pending-image,verified-reference
Golden Penny Instant Noodles Chicken 70 g,Golden Penny,grains,Instant Noodles,BSV-GOLDEN-PENNY-INSTANT-NOODLES-CHICKEN-70--0010,false,,,,70 g,item,,16,290,0,5,,Golden Penny Instant Noodles Chicken 70 g Nigeria product pack,Pending automated product-image enrichment,Public retail reference — do not treat as wholesale cost,,,Nigeria/Imported,2026-08-10,Public Nigerian retail reference; recheck supplier cost before publishing.,290,https://www.supermart.ng/collections/instant-noodles?page=2,https://www.supermart.ng/products/golden-penny-instant-noodles-chicken-70-g,https://www.supermart.ng/products/golden-penny-instant-noodles-chicken-70-g,verified-current,95,0,pending-image,verified-reference
