name,brand,category,subcategory,sku,hasVariants,optionType,variantName,variantSku,packSize,unit,estimatedCost,markupPct,price,stock,lowStockThreshold,imageUrl,imageSearchQuery,imageStatus,priceStatus,supplier,barcode,country,lastPriceCheck,notes
Big Bull Rice 1kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-1KG-0001,false,,,,1kg,item,650,0.16,750,0,5,assets/rice.jpg,Big Bull Rice 1kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Big Bull Rice 2kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-2KG-0002,false,,,,2kg,item,1200,0.16,1400,0,5,assets/rice.jpg,Big Bull Rice 2kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Big Bull Rice 5kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-5KG-0003,false,,,,5kg,item,3150,0.16,3650,0,5,assets/rice.jpg,Big Bull Rice 5kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Big Bull Rice 10kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-10KG-0004,false,,,,10kg,item,6250,0.16,7250,0,5,assets/rice.jpg,Big Bull Rice 10kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Big Bull Rice 25kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-25KG-0005,false,,,,25kg,item,17100,0.16,19850,0,5,assets/rice.jpg,Big Bull Rice 25kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Big Bull Rice 50kg,Big Bull,grains,Rice,BS-BIG-BULL-RICE-50KG-0006,false,,,,50kg,item,33850,0.16,39250,0,5,assets/rice.jpg,Big Bull Rice 50kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Mama Gold Rice 1kg,Mama Gold,grains,Rice,BS-MAMA-GOL-RICE-1KG-0007,false,,,,1kg,item,750,0.16,850,0,5,assets/rice.jpg,Mama Gold Rice 1kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Mama Gold Rice 5kg,Mama Gold,grains,Rice,BS-MAMA-GOL-RICE-5KG-0008,false,,,,5kg,item,3250,0.16,3750,0,5,assets/rice.jpg,Mama Gold Rice 5kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Mama Gold Rice 10kg,Mama Gold,grains,Rice,BS-MAMA-GOL-RICE-10KG-0009,false,,,,10kg,item,6950,0.16,8050,0,5,assets/rice.jpg,Mama Gold Rice 10kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Mama Gold Rice 25kg,Mama Gold,grains,Rice,BS-MAMA-GOL-RICE-25KG-0010,false,,,,25kg,item,16200,0.16,18800,0,5,assets/rice.jpg,Mama Gold Rice 25kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Mama Gold Rice 50kg,Mama Gold,grains,Rice,BS-MAMA-GOL-RICE-50KG-0011,false,,,,50kg,item,33600,0.16,39000,0,5,assets/rice.jpg,Mama Gold Rice 50kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Royal Stallion Rice 1kg,Royal Stallion,grains,Rice,BS-ROYAL-ST-RICE-1KG-0012,false,,,,1kg,item,750,0.16,850,0,5,assets/rice.jpg,Royal Stallion Rice 1kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Royal Stallion Rice 5kg,Royal Stallion,grains,Rice,BS-ROYAL-ST-RICE-5KG-0013,false,,,,5kg,item,3350,0.16,3900,0,5,assets/rice.jpg,Royal Stallion Rice 5kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Royal Stallion Rice 10kg,Royal Stallion,grains,Rice,BS-ROYAL-ST-RICE-10KG-0014,false,,,,10kg,item,6900,0.16,8000,0,5,assets/rice.jpg,Royal Stallion Rice 10kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Royal Stallion Rice 25kg,Royal Stallion,grains,Rice,BS-ROYAL-ST-RICE-25KG-0015,false,,,,25kg,item,18650,0.16,21650,0,5,assets/rice.jpg,Royal Stallion Rice 25kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Royal Stallion Rice 50kg,Royal Stallion,grains,Rice,BS-ROYAL-ST-RICE-50KG-0016,false,,,,50kg,item,36650,0.16,42500,0,5,assets/rice.jpg,Royal Stallion Rice 50kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Cap Rice Rice 1kg,Cap Rice,grains,Rice,BS-CAP-RICE-RICE-1KG-0017,false,,,,1kg,item,650,0.16,750,0,5,assets/rice.jpg,Cap Rice Rice 1kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Cap Rice Rice 5kg,Cap Rice,grains,Rice,BS-CAP-RICE-RICE-5KG-0018,false,,,,5kg,item,3500,0.16,4050,0,5,assets/rice.jpg,Cap Rice Rice 5kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Cap Rice Rice 10kg,Cap Rice,grains,Rice,BS-CAP-RICE-RICE-10KG-0019,false,,,,10kg,item,7250,0.16,8400,0,5,assets/rice.jpg,Cap Rice Rice 10kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Cap Rice Rice 25kg,Cap Rice,grains,Rice,BS-CAP-RICE-RICE-25KG-0020,false,,,,25kg,item,15650,0.16,18150,0,5,assets/rice.jpg,Cap Rice Rice 25kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Cap Rice Rice 50kg,Cap Rice,grains,Rice,BS-CAP-RICE-RICE-50KG-0021,false,,,,50kg,item,36200,0.16,42000,0,5,assets/rice.jpg,Cap Rice Rice 50kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
Tropical Sun Basmati Rice 1kg,Tropical Sun,grains,Basmati Rice,BS-TROPICAL-BASMATI-RICE-1KG-0022,false,,,,1kg,item,1550,0.16,1800,0,5,assets/rice.jpg,Tropical Sun Basmati Rice 1kg Nigeria product pack,Category placeholder – replace with verified product image,Estimated – verify with supplier,,,Nigeria/Imported,2026-08-10,"Stage catalogue item; verify exact pack, image and supplier price before live sale."
